0,1,2,3,4,5,6
69,"I3 - 3,60 GHZ",H310CM-HDV,250 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
70,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
71,"I3 - 3,40 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
72,"2 QUAD  2,66 GHZ",DG41RQ,250 GB - MECANICO,4 Gb,M,WINDOWS 10 - 64 BIT
73,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
74,"I5 - 3,20 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
75,"I3 - 3,30 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
76,"2 DUO  2,93 GHZ",G31M-ES2C,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - 64 BIT
77,"I5 - 3,00 GHZ",H110M-H-CF,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
78,"I3 - 3,10 GHZ",H61M-S2V-B3,500 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
79,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 7 - 64 BIT
80,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 7 - 32 BIT
81,"I3 - 3,70 GHZ",H410M-S2H-V2,300 GB - MECANICO,8 Gb,EX,WINDOWS 10 - LITE
82,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 7 - 64 BIT
83,"I3 - 3,40 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
84,"I3 - 3,40 GHZ",H81H3-M4,240 GB - SOLIDO,4 Gb,R,WINDOWS 10 - 64 BIT
85,"I5 - 2,90 GHZ",prime H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
86,"I3 - 3,40 GHZ",H81H3-M4,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
87,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 7 - 64 BIT
88,"I3  - 3,90 GHZ",H110M-HDV,1 TB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
89,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
90,"I3 - 3,30 GHZ",H61M-S1,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
91,"I3 - 3,40 GHZ",H81H3-M4,1 TB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
92,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 7 - 64 BIT
93,"I3 - 3,70 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
94,"2 DUO  3,00 GHZ",P5G41-M LX,500 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
95,"I3 - 3,70 GHZ",H110M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
97,"I3 - 3,10 GHZ",H61M-S1,500 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
98,"2 QUAD  2,66 GHZ",DG41TY,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - 64 BIT
99,"I7 - 3,60 GHZ",H110M-H,500 GB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
100,"I7 - 3,20 GHZ",H310M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
101,"I7 - 3,60 GHZ",H110M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
102,"I3 - 3,60 GHZ",H310CM-HDV,250 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
103,"I3 - 3,60 GHZ",h310 pro-vdh plus,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
104,"I3 - 3,60 GHZ",H310CM-HDV,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
105,"I3  - 3,90 GHZ",H110M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
106,"I3 - 3,70 GHZ",H81M-A,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
107,"I5 - 3,20 GHZ",H61M-S1,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
108,"I5 - 2,90 GHZ",prime H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
109,"I3 - 3,70 GHZ",H81M-A,1 TB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
110,"I5 - 3,00 GHZ",H110M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
111,"I3 - 3,60 GHZ",H310CM-HDV,250 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
112,"I7 - 3,60 GHZ",H110M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
113,"I5 - 2,90 GHZ",prime H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
114,"2 DUO  2,93 GHZ",G41M-ES2L,300 GB - MECANICO,4 Gb,M,WINDOWS 7 - 64 BIT
116,"I7 - 3,60 GHZ",H110M-H,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
117,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
118,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
120,"I3 - 3,40 GHZ",H81H3-M4,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
121,"I7 - 3,40 GHZ",B85M-D2V,1 TB - MECANICO,8 Gb,EX,WINDOWS 10 - 64 BIT
122,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
123,"I3 - 3,40 GHZ",H61M-S1,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
124,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
125,"I3 - 3,60 GHZ",h310 pro-vdh plus,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
126,"2 DUO  1,80 GHZ",P5VD2-MX SE,300 GB - MECANICO,2 Gb,M,WINDOWS 10 - LITE
127,"I7 - 3,60 GHZ",H110M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
128,"I5 - 2,90 GHZ",prime H410M-E,240 GB - SOLIDO,8 Gb,EX,WINDOWS 10 - 64 BIT
129,"I3 - 3,60 GHZ",h310 pro-vdh plus,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
130,"I5 - 3,00 GHZ",H110M-H,300 GB - MECANICO,4 Gb,B,WINDOWS 8.1 - 64 BIT
131,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
132,"I5 - 3,20 GHZ",H61M-S1,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
133,"I3 - 3,10 GHZ",H81M-H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
134,"I5 - 3,70 GHZ",H61M-S1,1 TB - MECANICO,4 Gb,B,WINDOWS 10 - 64 BIT
135,"I3 - 3,60 GHZ",h310 pro-vdh plus,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
136,"I3 -  2,93 GHZ",dh55tc,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - LITE
137,"I5 - 3,00 GHZ",prime H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
138,"I5 - 3,00 GHZ",prime H410M-E,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
139,"I3 - 3,70 GHZ",H81M-H,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
140,"I3 - 3,60 GHZ",H310CM-HDV,240 GB - SOLIDO,4 Gb,B,WINDOWS 10 - 64 BIT
141,"I3 - 3,40 GHZ",H61M-S1,240 GB - SOLIDO,2 Gb,B,WINDOWS 10 - 64 BIT
142,"I3 - 3,60 GHZ",B85M-D3H,500 GB - MECANICO,4 Gb,B,WINDOWS 10 - LITE
144,"I3 -  2,93 GHZ",dh55tc,300 GB - MECANICO,2 Gb,B,WINDOWS 10 - LITE
