0,1,2,3,4,5,6
69,17.0,16.0,6.0,3.0,0.0,1.0
70,10.0,44.0,7.0,2.0,0.0,2.0
71,16.0,21.0,11.0,3.0,0.0,1.0
72,6.0,5.0,6.0,3.0,2.0,1.0
73,10.0,44.0,7.0,3.0,0.0,1.0
74,23.0,21.0,11.0,3.0,0.0,1.0
75,15.0,21.0,11.0,3.0,0.0,2.0
76,3.0,9.0,7.0,2.0,2.0,1.0
77,22.0,13.0,7.0,3.0,0.0,2.0
78,14.0,22.0,11.0,2.0,0.0,2.0
79,17.0,2.0,11.0,3.0,0.0,5.0
80,10.0,44.0,7.0,2.0,0.0,4.0
81,18.0,19.0,7.0,5.0,1.0,2.0
82,17.0,2.0,11.0,3.0,0.0,5.0
83,16.0,21.0,11.0,3.0,0.0,2.0
84,16.0,23.0,5.0,3.0,3.0,1.0
85,21.0,46.0,5.0,3.0,0.0,1.0
86,16.0,23.0,0.0,3.0,0.0,1.0
87,17.0,2.0,11.0,3.0,0.0,5.0
88,9.0,14.0,0.0,3.0,0.0,7.0
89,10.0,44.0,7.0,3.0,0.0,1.0
90,15.0,21.0,5.0,3.0,0.0,1.0
91,16.0,23.0,0.0,3.0,0.0,7.0
92,17.0,2.0,11.0,3.0,0.0,5.0
93,18.0,25.0,11.0,3.0,0.0,2.0
94,4.0,32.0,11.0,2.0,2.0,2.0
95,18.0,12.0,11.0,3.0,0.0,7.0
97,14.0,21.0,11.0,2.0,0.0,2.0
98,6.0,6.0,7.0,2.0,2.0,1.0
99,28.0,12.0,11.0,5.0,1.0,1.0
100,26.0,17.0,0.0,5.0,1.0,1.0
101,28.0,12.0,0.0,5.0,1.0,1.0
102,17.0,16.0,6.0,3.0,0.0,1.0
103,17.0,45.0,5.0,3.0,0.0,1.0
104,17.0,16.0,5.0,3.0,0.0,1.0
105,9.0,12.0,7.0,3.0,0.0,1.0
106,18.0,24.0,0.0,3.0,0.0,2.0
107,23.0,21.0,0.0,3.0,0.0,1.0
108,21.0,46.0,5.0,3.0,0.0,1.0
109,18.0,24.0,0.0,3.0,0.0,7.0
110,22.0,12.0,7.0,3.0,0.0,7.0
111,17.0,16.0,6.0,3.0,0.0,1.0
112,28.0,12.0,0.0,5.0,1.0,1.0
113,21.0,46.0,5.0,3.0,0.0,1.0
114,3.0,10.0,7.0,3.0,2.0,5.0
